activity	time	p	p_peak	p_smooth
Running	1440.0	6.45223543281662e-5	0.04402262110550772	0.04402262110550772
Hiking	1440.0	0.0	0.0	0.0
Biking	1440.0	7.220640556567515e-6	0.008701753124231233	0.008701753124231233
Walking	1440.0	1.2565706643373676e-4	0.027177700828069515	0.027177700828069515
Doing yoga	1440.0	2.6469291728629647e-06	0.006200036533687316	0.006200036533687316
Fishing	1440.0	1.3343625972805836e-4	0.07983265772906203	0.07983265772906203
Dancing	1440.0	6.272396524054221e-4	0.8414057659445843	0.8414057659445843
Playing football	1440.0	6.617817408407484e-6	0.006845925925693272	0.006845925925693272
Softball	1440.0	0.0	0.0	0.0
Playing soccer	1440.0	0.0	0.0	0.0
Doing aerobics	1440.0	1.0266853816933121e-5	0.01678518107256822	0.01678518107256822
Hunting	1440.0	3.982547257188851e-5	0.03664365460965557	0.03664365460965557
Bowling	1440.0	1.229118333640891e-4	0.09970945768749105	0.09970945768749105
Rollerblading	1440.0	2.5623259098670696e-5	0.08046941181010205	0.08046941181010205
Golfing	1440.0	1.783552755526157e-5	0.007606589239324879	0.007606589239324879
Boating	1440.0	2.2323677436280645e-5	0.03314483525763393	0.03314483525763393
Playing baseball	1440.0	0.0	0.0	0.0
Running	1445.0	6.45223543281662e-5	0.04402262110550772	0.04402262110550772
Hiking	1445.0	0.0	0.0	0.0
Biking	1445.0	2.7132082955678173e-6	0.003269747133607591	0.005080415797148804
Walking	1445.0	7.670489873153401e-5	0.01659009595669905	0.019888020336142728
Doing yoga	1445.0	0.0	0.0	0.0020666788445624384
Fishing	1445.0	1.1809500112698182e-4	0.07065424213551373	0.07371371400002984
Dancing	1445.0	5.582428582193706e-4	0.7488505516222735	0.785933820497676
Playing football	1445.0	6.617817408407484e-6	0.006845925925693272	0.006845925925693272
Softball	1445.0	0.0	0.0	0.0
Playing soccer	1445.0	0.0	0.0	0.0
Doing aerobics	1445.0	1.0266853816933121e-5	0.01678518107256822	0.01678518107256822
Hunting	1445.0	3.594804254137977e-5	0.0330760081352893	0.03426522362674472
Bowling	1445.0	9.338959086196509e-5	0.07576020309549647	0.08374328795949466
Rollerblading	1445.0	1.2811629549335348e-5	0.04023470590505102	0.05364627454006803
Golfing	1445.0	1.676041947892501e-5	0.007148071514001951	0.007300910755776261
Boating	1445.0	2.0182704084569382e-5	0.029966048552979005	0.031025644121197318
Playing baseball	1445.0	0.0	0.0	0.0
Running	1450.0	6.45223543281662e-5	0.04402262110550772	0.04402262110550772
Hiking	1450.0	0.0	0.0	0.0
Biking	1450.0	2.7132082955678173e-6	0.003269747133607591	0.0032697471336075915
Walking	1450.0	7.34969430356524e-5	0.01589626422365961	0.0159432154743635
Doing yoga	1450.0	0.0	0.0	0.002933829954037141
Fishing	1450.0	1.1809500112698182e-4	0.07065424213551373	0.06923705184131455
Dancing	1450.0	5.721790469800852e-4	0.7675451439261705	0.7625351167651374
Playing football	1450.0	6.617817408407484e-6	0.006845925925693272	0.006845925925693272
Softball	1450.0	0.0	0.0	0.0
Playing soccer	1450.0	0.0	0.0	0.0
Doing aerobics	1450.0	1.0266853816933121e-5	0.01678518107256822	0.01678518107256822
Hunting	1450.0	3.594804254137977e-5	0.0330760081352893	0.03235017307811806
Bowling	1450.0	9.338959086196509e-5	0.07576020309549647	0.07576020309549647
Rollerblading	1450.0	1.2811629549335348e-5	0.04023470590505102	0.04023470590505102
Golfing	1450.0	1.676041947892501e-5	0.007148071514001951	0.007148071514001951
Boating	1450.0	2.0182704084569382e-5	0.029966048552979005	0.029966048552979005
Playing baseball	1450.0	0.0	0.0	0.0
Running	1455.0	6.45223543281662e-5	0.04402262110550772	0.04402262110550772
Hiking	1455.0	0.0	0.0	0.0
Biking	1455.0	2.7132082955678173e-6	0.003269747133607591	0.0032697471336075915
Walking	1455.0	7.094022967253859e-5	0.015343286242731837	0.014550815628815739
Doing yoga	1455.0	3.7575456457552683e-6	0.008801489862111423	0.005867659908074282
Fishing	1455.0	1.109887148942486e-4	0.06640267125291618	0.06781986154711536
Dancing	1455.0	5.749108163433398e-4	0.7712096547469683	0.762402642839575
Playing football	1455.0	6.617817408407484e-6	0.006845925925693272	0.006845925925693272
Softball	1455.0	0.0	0.0	0.0
Playing soccer	1455.0	0.0	0.0	0.0
Doing aerobics	1455.0	1.0266853816933121e-5	0.01678518107256822	0.01678518107256822
Hunting	1455.0	3.3581461658357954e-5	0.030898502963775578	0.03162433802094682
Bowling	1455.0	9.338959086196509e-5	0.07576020309549647	0.07501600353415579
Rollerblading	1455.0	1.2811629549335348e-5	0.04023470590505102	0.04023470590505102
Golfing	1455.0	1.676041947892501e-5	0.007148071514001951	0.007148071514001951
Boating	1455.0	2.0182704084569382e-5	0.029966048552979005	0.029966048552979005
Playing baseball	1455.0	0.0	0.0	0.0
Running	1460.0	6.45223543281662e-5	0.04402262110550772	0.04402262110550772
Hiking	1460.0	0.0	0.0	0.0
Biking	1460.0	2.7132082955678173e-6	0.003269747133607591	0.0032697471336075915
Walking	1460.0	5.73914680994314e-5	0.012412896420055778	0.013723688536556892
Doing yoga	1460.0	3.7575456457552683e-6	0.008801489862111423	0.008801489862111423
Fishing	1460.0	1.109887148942486e-4	0.06640267125291618	0.06640267125291618
Dancing	1460.0	5.579465936735866e-4	0.7484531298455863	0.7531150215571341
Playing football	1460.0	6.617817408407484e-6	0.006845925925693272	0.006845925925693272
Softball	1460.0	0.0	0.0	0.0
Playing soccer	1460.0	0.0	0.0	0.0
Doing aerobics	1460.0	1.0266853816933121e-5	0.01678518107256822	0.01678518107256822
Hunting	1460.0	3.3581461658357954e-5	0.030898502963775578	0.030898502963775578
