Date	Chrome	IE	Firefox	Other
2009-01	1.38	65.41	27.03	6.19
2009-02	1.52	64.43	27.85	6.21
2009-03	1.73	62.52	29.4	6.34
2009-04	2.07	61.88	29.67	6.39
2009-05	2.42	62.09	28.75	6.75
2009-06	2.82	59.49	30.33	7.36
2009-07	3.01	60.11	30.5	6.38
2009-08	3.38	58.69	31.28	6.65
2009-09	3.69	58.37	31.34	6.6
2009-10	4.17	57.96	31.82	6.05
2009-11	4.66	56.57	32.21	6.56
2009-12	5.45	55.72	31.97	6.85
2010-01	6.04	55.25	31.64	7.07
2010-02	6.72	54.5	31.82	6.95
2010-03	7.29	54.44	31.27	6.99
2010-04	8.06	53.26	31.74	6.93
2010-05	8.61	52.77	31.64	6.97
2010-06	9.24	52.86	31.15	6.75
2010-07	9.88	52.68	30.69	6.74
2010-08	10.76	51.34	31.09	6.81
2010-09	11.54	49.87	31.5	7.08
2010-10	12.39	49.21	31.24	7.17
2010-11	13.35	48.16	31.17	7.3
2010-12	14.85	46.94	30.76	7.45
2011-01	15.68	46	30.68	7.65
2011-02	16.54	45.44	30.37	7.63
2011-03	17.37	45.11	29.98	7.54
2011-04	18.29	44.52	29.67	7.5
2011-05	19.36	43.87	29.29	7.47
2011-06	20.65	43.58	28.34	7.41
2011-07	22.14	42.45	27.95	7.47
2011-08	23.16	41.89	27.49	7.45
2011-09	23.61	41.66	26.79	7.91
2011-10	25	40.18	26.39	8.42
2011-11	25.69	40.63	25.23	8.45
2011-12	27.27	38.65	25.27	8.81
2012-01	28.4	37.45	24.78	9.37
2012-02	29.84	35.75	24.88	9.5
2012-03	30.87	34.81	24.98	9.34
2012-04	31.23	34.07	24.87	9.82
2012-05	32.43	32.12	25.55	9.89
2012-06	32.76	32.31	24.56	10.31
2012-07	33.81	32.04	23.73	10.39
2012-08	34.68	34	23.65	7.68
2012-09	35.35	33.9	23.21	7.54
2012-10	35.93	33.29	23.15	7.64
2012-11	36.97	32.46	23.24	7.33
2012-12	37.82	32.14	22.84	7.19
2013-01	38.08	32.25	22.47	7.19
2013-02	38.83	31.47	22.5	7.22
2013-03	39.89	30.95	22.03	7.13
2013-04	40.88	31.27	21.09	6.74
2013-05	43.28	29.21	20.8	6.7
2013-06	44.81	26.93	21.17	7.08
2013-07	45.4	26.05	21.31	7.24
2013-08	45.03	27.13	20.42	7.42
2013-09	42.84	30.25	19.42	7.49
2013-10	42.45	30.67	19.16	7.73
2013-11	44.09	29.03	19.27	7.62
2013-12	46.63	24.91	20.3	8.15
2014-01	46.6	24.65	20.39	8.36
2014-02	46.69	24.39	20.78	8.14
2014-03	46.49	24.44	20.28	8.78
2014-04	48.08	23.19	20.13	8.6
2014-05	48.63	22.6	20.33	8.44
2014-06	48.72	22.97	19.63	8.67
2014-07	48.69	23.52	19.25	8.52
2014-08	49.88	22.41	19.29	8.41
2014-09	49.18	22.62	19.25	8.93
2014-10	51.31	21.31	18.77	8.61
2014-11	51.81	21.65	18.46	8.07
2014-12	49.66	24.55	18.01	7.76
2015-01	51.72	21.16	18.7	8.41
2015-02	52.27	20.75	18.22	8.75
2015-03	52.59	19.73	18.6	9.1
2015-04	52.96	19.85	18.27	8.92
2015-05	52.32	19.9	17.87	9.89
2015-06	52.82	20.15	17.59	9.44
2015-07	55.39	18.86	17.24	8.49
2015-08	56.51	17.51	17.16	8.83
2015-09	56.51	17.11	17.34	9.05
2015-10	56.95	16.7	16.95	9.4
2015-11	57.48	16.79	16.05	9.7
2015-12	56.89	16.52	15.6	10.99
2016-01	57.75	15.95	16	10.29
2016-02	58.98	14.58	16.06	10.36
2016-03	60.1	13.67	15.69	10.57
2016-04	60.47	13.25	15.62	10.66
2016-05	60.75	12.45	15.96	10.84
2016-06	61.73	11.71	15.55	11
2016-07	62.38	10.73	15.43	11.48
2016-08	62.3	10.73	15.31	11.66
2016-09	62.62	10.73	15	11.65
2016-10	63.19	9.73	14.59	12.5
2016-11	63.11	9.64	14.89	12.33
2016-12	62.66	9.86	14.95	12.53
2017-01	62.09	10.49	14.85	12.58
2017-02	62.95	9.62	14.81	12.61
2017-03	62.81	9.39	14.97	12.84
2017-04	63.45	9	14.53	13.02
2017-05	63.36	9.2	14.17	13.27
2017-06	63.23	9.28	13.98	13.5
2017-07	63.48	9.03	13.82	13.68
2017-08	63.58	8.61	13.73	14.08
2017-09	63.98	8.21	13.6	14.22
2017-10	63.6	8.34	13.04	15
2017-11	64.02	8.47	12.55	14.95
2017-12	64.72	7.71	12.21	15.36
